"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nautilus","Jungle",2,"0.6%","19.1%","60.5%","100%","100%",1,2,16,8.5,"70.8%","22.2%","-","-","-","-",4.6,"-",197,"7.3%","14.2%",0.35,0.4
"Nautilus","Support",132,"40.7%","19.1%","60.5%","48%","62%",93,468,1095,2.5,"67.6%","25.9%","-","-","-","-",1.2,"-",146,"6.9%","9.1%",1.66,0.36
"Neeko","Middle",97,"29.9%","67.0%","96.9%","52%","15%",229,245,622,3.5,"65.0%","20.3%","-","-","-","-",7.8,"-",504,"24.6%","20.6%",0.32,0.22
"Nidalee","Jungle",3,"0.9%","3.1%","4.0%","100%","67%",12,9,17,3.2,"59.2%","34.6%","-","-","-","-",7.2,"-",540,"24.0%","20.8%",0.78,0.68
"Nilah","ADC",1,"0.3%","0.6%","0.9%","0%","100%",2,8,6,1,"88.9%","36.4%","-","-","-","-",7,"-",199,"12.2%","22.5%",0.31,0.23
"Nocturne","Jungle",32,"9.9%","16.0%","25.9%","50%","84%",100,78,199,3.8,"68.7%","18.5%","-","-","-","-",6.2,"-",316,"15.2%","19.9%",0.73,0.4
"Ornn","Top",35,"10.8%","3.1%","13.9%","69%","100%",58,65,272,5.1,"62.6%","17.0%","-","-","-","-",7.3,"-",478,"20.6%","18.3%",0.43,0.16
"Poppy","Jungle",40,"12.3%","22.2%","40.7%","55%","73%",73,105,290,3.5,"69.1%","23.3%","-","-","-","-",5,"-",255,"11.6%","16.3%",0.4,0.4
"Poppy","Top",20,"6.2%","22.2%","40.7%","65%","90%",22,33,124,4.4,"50.2%","13.9%","-","-","-","-",7.5,"-",485,"20.3%","18.8%",0.42,0.16
"Pyke","Support",5,"1.5%","0.0%","1.5%","40%","100%",13,20,21,1.7,"47.9%","27.0%","-","-","-","-",1.7,"-",182,"9.2%","10.9%",2.52,0.82
"Qiyana","Middle",6,"1.9%","0.3%","2.2%","67%","100%",24,12,30,4.5,"58.1%","16.0%","-","-","-","-",7.5,"-",450,"18.2%","23.4%",0.43,0.21
